pid;uid;name;events
27505;87;chrome.exe;{DISK:[write, rename]# RAM:[move, copy, memcpy, malloc, calloc, free, read, fetch]# DISK:[truncate, read, open, rename]# DISK:[seek, fsync, append, fsync, flush, rename, sync]}
43451;87;cmd.exe;{DISK:[commit, mount, seek]# RAM:[store, store, calloc, fetch, copy, memcpy, alloc]# CPU:[div, mov, add, push, cmp, call, call]# CPU:[sub, call, cmp, cmp, cmp, jump, pop]# RAM:[malloc, fetch]# CPU:[jump, sub, div, cmp, dec, pop]# DISK:[read, close, write, fsync, read]}
62192;731;notepad.exe;{RAM:[copy, alloc]# DISK:[sync, write, write, rename, read, flush, write, read]# RAM:[cache, free]# DISK:[read, mount, close, truncate, close, truncate, open, truncate]}
77653;98;chrome.exe;{CPU:[ret, mov, cmp, loop, shift, call, loop, push]# RAM:[move, free, memcpy, calloc]# CPU:[mod, pop, mod]# DISK:[write, fsync, commit, write, rename]# DISK:[seek, flush, close]# DISK:[fsync, write, truncate, append, sync, open]}
76208;333;ftp.exe;{CPU:[call, ret, xor, jump, xor, sub]# DISK:[commit, truncate, write, flush, truncate, truncate, write, unlink]# DISK:[write, mount, mount, unlink, truncate, read]# CPU:[shift, test]}
27009;314;ping.exe;{DISK:[commit, append, write]# RAM:[malloc, copy, write, memcpy, calloc, store, fetch]# CPU:[push, inc, add, sub, add, add, add]}
94876;25;cmd.exe;{CPU:[mov, mul, mul, cmp, test, div, loop, ret]# DISK:[seek, rename, open, close]# DISK:[close, read]# RAM:[cache, malloc, write, calloc]# DISK:[mount, rename, mount, mount, read, write, truncate]}
19491;98;control.exe;{DISK:[mount, append, truncate, rename, write]# CPU:[pop, jmp, sub]# RAM:[fetch, read, copy, cache, fetch]# CPU:[sub, add]# DISK:[flush, sync, unlink, open]# RAM:[store, memcpy]# DISK:[truncate, read, sync, sync]}
73893;87;ping.exe;{CPU:[push, jmp, xor, inc, dec, sub, dec, pop]# CPU:[mov, mod, sub, ret, sub, test, sub, shift]# CPU:[shift, ret, loop]# DISK:[rename, seek, rename, commit]# DISK:[truncate, read, read, write, seek, mount, rename, seek]# CPU:[mod, push, jmp, div, ret, jmp, add, push]}
82095;333;regedit.exe;{DISK:[append, flush, truncate, flush, sync]# DISK:[flush, truncate, open, write, sync, mount, flush, read]# DISK:[read, close]# RAM:[malloc, load, memcpy, alloc, copy, move]}
84665;1507;control.exe;{RAM:[alloc, read, free, cache]# DISK:[unlink, close, close]# DISK:[flush, write, mount, rename, mount]# CPU:[sub, mod, pop, mod, call]# RAM:[store, calloc, load, release, release, read, alloc, cache]}
30125;333;control.exe;{RAM:[malloc, alloc, load, free, release, memcpy]# CPU:[mul, test, mod, pop, shift, push, pop]# DISK:[fsync, truncate, truncate, seek, rename, flush]# DISK:[unlink, flush]# DISK:[truncate, truncate, read, fsync, mount, unlink, close]}
17696;4086;netstat.exe;{DISK:[unlink, seek, mount, open, open, seek, fsync]# RAM:[free, free, free]# RAM:[release, copy, load]}
77055;219;wmic.exe;{RAM:[free, calloc, alloc, calloc, write, write, write]# DISK:[append, truncate, append, close, rename, write]# DISK:[commit, flush]}
31700;98;cmd.exe;{RAM:[alloc, cache, malloc]# RAM:[read, cache, release]# CPU:[mul, mul, jmp, test, inc, mod, div]# RAM:[release, cache, calloc, copy, memcpy, release]}
68843;25;notepad.exe;{CPU:[add, add, mov, div, inc, shift, div, ret]# CPU:[jmp, add, xor, mod, inc, test, test, push]# DISK:[fsync, commit, write, close]# RAM:[move, malloc]}
28110;731;java.exe;{RAM:[read, write, load]# DISK:[rename, write]# DISK:[rename, commit, mount, write, truncate, mount, flush]# CPU:[jmp, test, inc, add, mov]# CPU:[shift, cmp, call, call, cmp, jmp, jump, mul]# CPU:[push, inc, inc, shift, mul]# CPU:[sub, pop, jump, jmp]}
70368;731;ftp.exe;{RAM:[read, calloc, calloc, store, free, fetch, cache]# RAM:[calloc, memcpy, read, copy, memcpy]# CPU:[jump, shift]}
2455;25;ipconfig.exe;{DISK:[unlink, sync, sync]# DISK:[fsync, fsync]# CPU:[jump, loop, mul, inc, cmp]}
13200;314;ipconfig.exe;{RAM:[read, release, cache, copy]# DISK:[sync, commit, write]# RAM:[release, fetch, cache, calloc, copy, malloc, alloc]# DISK:[truncate, fsync, mount]# RAM:[read, write, free, load, copy, read, calloc]}
69281;4086;ipconfig.exe;{RAM:[fetch, release, malloc]# DISK:[truncate, read, sync, seek, flush, flush, open]# RAM:[memcpy, write, read, write, malloc, store]# RAM:[memcpy, read, move, release, read, copy, store]# DISK:[close, write, rename, mount, mount, commit]}
23926;25;wmic.exe;{RAM:[calloc, alloc, cache, calloc, move, memcpy]# DISK:[open, sync, rename, commit, commit, rename]# RAM:[calloc, malloc, load, release, copy, malloc, move, calloc]# DISK:[close, open, open, rename, fsync, append, write]# DISK:[read, truncate, rename, unlink]# DISK:[open, commit, flush, read, unlink]}
74200;87;services.exe;{DISK:[commit, commit, rename, fsync]# CPU:[cmp, div, call]# CPU:[jump, shift, mod, mov]}
73480;25;docker.exe;{DISK:[truncate, append]# CPU:[div, loop, shift, add, loop]# CPU:[cmp, pop, ret, xor, jmp, xor, inc]# DISK:[commit, unlink, open, flush, truncate, read, open]# DISK:[seek, fsync, fsync, mount, fsync, seek, unlink, sync]# DISK:[read, close]# DISK:[sync, unlink, seek, truncate, rename, fsync]}
19399;731;ssh.exe;{DISK:[read, sync, open, mount, write, rename, truncate]# RAM:[cache, store, cache, malloc, write, release]# CPU:[ret, test]# RAM:[malloc, release]# DISK:[rename, flush, rename]}
69372;219;ssh.exe;{CPU:[cmp, push, mod, ret]# CPU:[mov, pop, jmp]# RAM:[read, release, read, release, alloc, fetch, calloc]# CPU:[add, jmp]# RAM:[cache, cache, write, read, write, release]}
50849;642;ipconfig.exe;{CPU:[cmp, inc, add, sub, mul, mod, jmp]# CPU:[push, mul, pop, mul, inc, sub]# RAM:[calloc, alloc, release, malloc, copy]}
25776;98;git.exe;{DISK:[seek, close, unlink]# CPU:[push, push, add, test, loop, loop, pop]# RAM:[read, memcpy, fetch]# CPU:[mod, shift, jump, jump, dec, add, ret]# CPU:[test, test, mod, sub, call, mov, mul]# RAM:[cache, copy]}
88525;642;regedit.exe;{CPU:[cmp, loop, xor]# CPU:[inc, dec, call]# CPU:[mod, div, loop, ret]}
10474;4086;notepad.exe;{CPU:[div, mul, call, add, mod, div, xor]# RAM:[release, copy, malloc]# RAM:[fetch, fetch, copy]# DISK:[sync, write, flush, flush]}
58753;87;control.exe;{RAM:[load, move, read, memcpy]# CPU:[mov, inc, sub, jump, mod, pop, jmp, sub]# CPU:[push, pop, sub, xor, loop]# CPU:[push, div, mod, test, ret, div, jump]# RAM:[calloc, fetch, malloc, copy, alloc, alloc, write]# CPU:[call, mul, test, mov, ret, call, div, cmp]# RAM:[cache, alloc, move, copy, store, memcpy]}
64496;333;control.exe;{RAM:[calloc, cache, release]# CPU:[ret, xor, div, jmp, call, ret, inc, shift]# CPU:[xor, mov, loop, add]# RAM:[memcpy, move, copy, memcpy, malloc, cache, cache, malloc]# CPU:[test, sub, mod, test, xor]# RAM:[calloc, calloc, alloc, release, calloc, read]# RAM:[read, cache, copy, alloc, write, malloc, release, alloc]}
23751;1024;diskpart.exe;{RAM:[alloc, write, cache, malloc, release, malloc, store]# CPU:[inc, ret, loop, div, push, mod, mov, jump]# DISK:[truncate, open]# CPU:[mov, jump]# RAM:[cache, fetch, calloc, move, read, copy]}
77515;642;control.exe;{CPU:[ret, pop, ret, add, call]# CPU:[inc, sub]# DISK:[close, flush, open, fsync, truncate, sync, close]# DISK:[close, mount, truncate, mount, open, read, mount]# DISK:[fsync, close, commit, truncate]}
72653;1507;cmd.exe;{RAM:[fetch, malloc, copy, copy]# RAM:[calloc, read, memcpy, malloc, fetch, write, store, alloc]# CPU:[mod, loop, mod, test, cmp, ret]}
86178;314;notepad.exe;{RAM:[cache, calloc, write, move]# CPU:[loop, test, ret, test, mod, ret, jump]# DISK:[sync, truncate, append, close, fsync, read]# CPU:[jmp, mov, cmp, test]# DISK:[rename, open]# DISK:[open, truncate, seek, sync]# DISK:[open, open, rename]}
31227;219;explorer.exe;{CPU:[dec, mod, mod, inc, loop, mov, sub]# CPU:[div, call, push, ret, call, inc, dec]# RAM:[alloc, copy, cache, fetch]# DISK:[flush, read, unlink, fsync, fsync]# DISK:[read, open, flush, open]}
17545;1507;node.exe;{RAM:[cache, release, release, free, release, free, copy, move]# CPU:[mod, call, push, mul]# DISK:[unlink, read, truncate, rename, unlink, close, append]# CPU:[mod, call, mov, call]# RAM:[free, release, memcpy, free, store, copy]# DISK:[open, unlink, write, flush, fsync, truncate, write, truncate]# DISK:[unlink, unlink, seek, open, append]}
68117;56;python.exe;{RAM:[move, store]# RAM:[malloc, load, release, load, free, read, free, load]# DISK:[write, open, truncate, fsync, commit, write]# CPU:[test, call, sub, cmp, jmp]# DISK:[commit, flush, mount, rename]# CPU:[dec, cmp]# RAM:[write, store, load, fetch]}
14193;219;chrome.exe;{CPU:[call, dec, cmp]# RAM:[memcpy, release, copy, write, free]# RAM:[release, store, read, read, move]# RAM:[alloc, memcpy, release, malloc, calloc, write, load, calloc]}
11521;25;java.exe;{RAM:[move, copy, write, memcpy, move]# DISK:[truncate, seek, commit, close, fsync]# CPU:[test, add, push, dec, jump, xor, jmp, jmp]# DISK:[rename, unlink, sync, read, read, unlink, truncate, rename]}
56218;731;explorer.exe;{DISK:[sync, rename, rename, append, truncate, append]# RAM:[release, alloc, alloc, fetch]# DISK:[truncate, unlink, close, open]# RAM:[malloc, store, memcpy, move, cache, store]# RAM:[memcpy, release, move, load, alloc, copy, alloc, load]}
80628;87;cmd.exe;{RAM:[alloc, release]# CPU:[sub, jump]# RAM:[malloc, free, move, malloc]# CPU:[xor, jump]# DISK:[fsync, write, rename, unlink, fsync, unlink, write, flush]# CPU:[inc, test, sub, jmp]}
26850;1507;diskpart.exe;{DISK:[read, open, write, mount, mount, mount, fsync]# DISK:[commit, sync, sync, commit, commit, close]# RAM:[fetch, release, memcpy]# CPU:[loop, loop, pop, shift, jump]# DISK:[read, unlink]# DISK:[close, read, unlink, mount, flush, write, truncate]}
28731;314;wmic.exe;{CPU:[jump, cmp, mul, jump, cmp, jump, add]# DISK:[commit, write, seek, sync]# DISK:[write, truncate]# CPU:[push, test, call, cmp, ret]# RAM:[read, copy, alloc, calloc]# RAM:[copy, memcpy, write, malloc, fetch]# CPU:[call, dec, test, loop, inc, push, dec, ret]}
82378;56;mvn.exe;{RAM:[release, move, read]# RAM:[move, write, copy]# DISK:[append, sync, open, truncate, flush, close, write]# RAM:[copy, release]}
23909;333;git.exe;{DISK:[read, write, append, open, flush]# CPU:[cmp, mov, mov, call, add]# RAM:[alloc, alloc, move]}
74401;98;ipconfig.exe;{CPU:[shift, inc]# DISK:[commit, write, open, mount, flush, truncate, truncate, read]# CPU:[inc, dec, xor]# DISK:[truncate, flush, unlink, truncate, mount, mount, sync, write]# RAM:[malloc, fetch, memcpy, memcpy, fetch, free, alloc]# RAM:[free, read, move, store]}
34314;56;ssh.exe;{DISK:[close, write, read, append, commit, fsync, fsync]# DISK:[seek, read, commit, read, append]# CPU:[sub, inc, xor]# DISK:[append, rename, truncate, append, close, write]# CPU:[inc, jump, mov, ret, jmp]# CPU:[jump, add, div]}
17757;219;python.exe;{DISK:[read, seek, seek]# RAM:[copy, fetch, move, calloc, malloc, fetch, copy, copy]# DISK:[commit, append, unlink, open, flush, close, close, close]}
92499;219;control.exe;{RAM:[free, malloc, copy]# RAM:[calloc, release]# CPU:[add, push, pop]# CPU:[mul, mov, mov, inc, div]# RAM:[store, release]# CPU:[mov, mul, add]# CPU:[mov, call, mov, dec, add, mul, pop]}
26162;4086;regedit.exe;{CPU:[cmp, add]# DISK:[append, write, flush, open, commit]# RAM:[move, write]# CPU:[sub, jump, jump, div, cmp]# CPU:[loop, shift]# RAM:[malloc, alloc, read, write, move, calloc, memcpy, malloc]# CPU:[div, mod]}
52882;87;taskmgr.exe;{CPU:[sub, loop]# CPU:[inc, jmp, loop, xor, cmp, cmp, sub]# RAM:[free, cache, cache, store, free, copy]# CPU:[call, loop, pop, jmp, div, jump, pop]}
23186;87;cmd.exe;{CPU:[ret, mod, jmp, jump, inc, add, mov, inc]# CPU:[pop, mod, jump]# CPU:[mov, cmp, dec, dec, mod, mul, add, cmp]# DISK:[commit, commit, unlink, read, rename, close, commit]# RAM:[read, calloc, write, free, fetch, write, alloc, load]}
25102;731;java.exe;{RAM:[store, cache, load, calloc, alloc, free]# CPU:[mul, jump, add, jump]# RAM:[cache, write]# RAM:[alloc, fetch, free, copy, fetch, load]# CPU:[sub, loop, mul]# RAM:[release, move, read, cache, free]# CPU:[pop, jmp, div]}
44977;219;regedit.exe;{DISK:[open, seek, flush, close, close, fsync, mount]# CPU:[sub, div, add]# DISK:[sync, append, commit, rename]# DISK:[unlink, sync, rename, mount, commit]}
8604;219;git.exe;{DISK:[unlink, unlink, mount, sync, fsync, read, flush, mount]# RAM:[write, alloc, release, calloc, load, fetch, cache, read]# CPU:[ret, sub]# CPU:[jmp, div, sub, cmp, add, shift, ret, xor]# CPU:[mod, push, mul, test, call]# RAM:[read, copy, read, copy, write, calloc]# DISK:[unlink, append, write, read, commit, seek, fsync]}
94444;87;chrome.exe;{RAM:[free, copy]# CPU:[loop, div, xor, sub, loop]# DISK:[unlink, write, seek]}
37812;219;gradle.exe;{RAM:[free, calloc, cache, alloc]# CPU:[cmp, add, add, mov, shift, call, dec]# DISK:[truncate, open, unlink, append, sync, close, sync, commit]# RAM:[read, free, write, copy, read]# RAM:[malloc, calloc, release]}
26362;98;python.exe;{RAM:[release, cache, cache, cache]# CPU:[dec, mov]# CPU:[xor, jump, test, add, sub, sub]# RAM:[cache, cache, write, load, store]}
82260;98;notepad.exe;{CPU:[loop, mov]# RAM:[fetch, write, load, read, read, memcpy, malloc]# RAM:[free, copy, calloc, copy, write, release]}
93803;98;wmic.exe;{DISK:[unlink, flush]# DISK:[write, unlink, rename, read, seek, mount, commit]# DISK:[seek, rename, commit, mount, open, fsync]# DISK:[append, sync, rename, commit, truncate, append, open, flush]# DISK:[flush, append]}
77474;4086;control.exe;{RAM:[move, copy, memcpy, load, write]# RAM:[write, alloc, free, fetch, load]# CPU:[test, mov, push, xor, xor]}
22932;219;docker.exe;{CPU:[jmp, mov, pop, mov, mov, div, loop]# CPU:[push, call]# RAM:[malloc, alloc, read, free, fetch, read, copy, fetch]# DISK:[read, write, write, sync, seek, fsync, read, open]}
87309;1507;notepad.exe;{CPU:[ret, mul, xor, dec, mov, jmp, jmp, mov]# RAM:[write, write, fetch]# CPU:[ret, jmp, mov, pop, jmp, add, mul]# DISK:[mount, mount, truncate, read, read]# CPU:[dec, jmp, jmp, xor, mov]}
57818;642;java.exe;{CPU:[call, sub, add, push, ret, sub]# RAM:[store, fetch, malloc, write, release]# CPU:[cmp, mod, mov, mul, pop, mod, mul, mul]# CPU:[test, mov, push, call, shift, ret]# DISK:[append, close, rename]# RAM:[malloc, release, fetch, malloc, malloc, read]}
35113;25;ssh.exe;{CPU:[div, push, mul, mov, shift, div, dec]# RAM:[fetch, copy]# DISK:[read, append, mount]# DISK:[close, truncate, truncate, flush, unlink, close, sync, unlink]# CPU:[loop, mov, mod, call, pop, sub, shift, pop]}
80030;731;python.exe;{CPU:[push, shift, add, push, loop, jmp, pop]# CPU:[loop, add]# CPU:[inc, div, mod, jump, call, dec]# DISK:[flush, fsync, open, sync, mount, truncate, truncate, read]# CPU:[mov, xor, push, ret, mod, ret]# DISK:[flush, commit, seek, sync, read, mount]# RAM:[alloc, calloc, copy, fetch, move]}
75564;87;docker.exe;{DISK:[write, write, mount, write, flush, fsync, write, commit]# DISK:[unlink, open, rename]# DISK:[fsync, read, fsync, fsync, flush, close, sync]}
14250;1024;ipconfig.exe;{DISK:[seek, unlink, read, flush, seek]# RAM:[copy, copy, write, cache]# RAM:[release, memcpy, read, alloc, store, load, calloc, load]# RAM:[load, write, move]# CPU:[inc, sub, cmp, pop, push]# CPU:[mov, shift, mod, mul, test, test, mul, jmp]}
16716;333;regedit.exe;{DISK:[rename, truncate, open, seek, truncate, truncate]# DISK:[fsync, sync]# RAM:[copy, alloc, write, load, write, fetch, load, cache]# DISK:[write, rename, flush, fsync, unlink, commit, read, sync]# DISK:[mount, truncate, sync, commit, open]# DISK:[rename, flush, close, commit, sync, close]# DISK:[append, mount, truncate, sync, commit, mount]}
90367;87;chrome.exe;{DISK:[unlink, rename, open, seek]# CPU:[jump, call]# CPU:[test, dec, xor, mod, sub, dec, div, mul]# RAM:[cache, malloc]# DISK:[flush, fsync]}
78219;642;node.exe;{CPU:[inc, xor, shift, jump, div]# DISK:[mount, unlink, unlink, commit, seek, sync]# RAM:[read, read]# DISK:[open, commit, mount, rename, read, mount, truncate]# DISK:[read, seek, mount, sync]# RAM:[release, load, calloc, memcpy, release, copy, move]}
57104;731;mvn.exe;{CPU:[shift, push, call, add]# RAM:[cache, release, store, fetch]# RAM:[copy, read, move, fetch]# RAM:[store, free, free, calloc, copy, calloc, move, read]# RAM:[free, release, calloc]# RAM:[calloc, cache, cache, calloc]}
17245;1507;calc.exe;{RAM:[load, read, write, cache, malloc, store, move]# DISK:[flush, seek, seek, close]# DISK:[read, fsync, read, write, read]# CPU:[call, loop, shift, test]# DISK:[append, mount, sync, read, rename, unlink, commit]# CPU:[add, div, mul, call, push]}
93048;87;cmd.exe;{DISK:[mount, truncate, rename, truncate, open, sync, seek, seek]# DISK:[write, append]# DISK:[sync, append, close, append, truncate, read]# CPU:[mul, call, mov, dec, loop, add, push, loop]# CPU:[shift, push, call, shift, mul, jump, div]}
21677;25;ipconfig.exe;{RAM:[memcpy, calloc, fetch]# RAM:[cache, store, memcpy]# DISK:[sync, fsync, rename, truncate, seek, append, truncate]# RAM:[malloc, alloc, store, load, copy, alloc, load, alloc]# CPU:[ret, xor, jmp, inc, push, dec, push]# CPU:[shift, push]# RAM:[store, load, malloc, fetch, store, memcpy, alloc]}
25896;87;powershell.exe;{CPU:[loop, pop, ret]# DISK:[close, close, append, open, commit, close, fsync, write]# RAM:[calloc, cache, calloc, free, free]# DISK:[open, open, open, close]}
21904;4086;calc.exe;{CPU:[ret, ret, mod, call, mul, test, dec, add]# DISK:[seek, rename, fsync, write, commit, rename]# RAM:[release, read, load]}
43216;333;diskpart.exe;{CPU:[xor, inc, ret, jmp, jump]# RAM:[free, store, release, free, load, read]# CPU:[div, jmp, mul, mod, loop, test, jmp, pop]# DISK:[fsync, sync]}
45364;314;regedit.exe;{RAM:[store, load, load, cache, read, release, copy]# CPU:[ret, dec, mul, test, cmp, loop, ret, div]# CPU:[inc, xor, div, jump, ret, loop, jmp]# DISK:[mount, fsync, truncate, close, sync, rename, commit]# DISK:[sync, commit, truncate, truncate, rename, read]}
90618;98;explorer.exe;{RAM:[move, memcpy, alloc, release, fetch]# CPU:[loop, jump, push, mod]# CPU:[mul, ret]# DISK:[close, mount, read, mount, read]# CPU:[ret, xor, mov, loop, call, jmp, xor, xor]}
74550;87;taskmgr.exe;{DISK:[truncate, append, seek, sync, fsync, read, commit]# CPU:[jmp, jmp, sub]# DISK:[truncate, flush, read, read, write, seek]}
15431;25;calc.exe;{CPU:[add, mul]# DISK:[sync, append, sync, sync, write, seek]# CPU:[ret, test, mod, div, add, ret]# CPU:[pop, cmp, dec, mod, mul, pop, sub, xor]}
72587;56;chrome.exe;{DISK:[commit, truncate]# CPU:[test, push, shift, ret, jump, cmp, inc, pop]# RAM:[move, store, release, malloc, calloc, write, read, read]# CPU:[add, loop, mod, call, add, dec, push]}
43278;333;ssh.exe;{RAM:[write, store, read, memcpy, read, cache, cache, malloc]# RAM:[load, write, write, read, malloc]# RAM:[load, release, write, memcpy]# CPU:[xor, pop, add, loop, ret, inc, div]# RAM:[release, move, load, calloc, move, fetch]# CPU:[add, dec, ret, cmp, shift, shift]}
71958;1024;services.exe;{CPU:[ret, mov, mov, mod, call]# RAM:[fetch, calloc, read, copy, free, copy]# RAM:[copy, copy, malloc, move, write, fetch]# DISK:[open, open, append, rename, commit, write, unlink]# CPU:[mov, shift, call, dec]# RAM:[write, move, fetch, cache, read, memcpy, move, free]# CPU:[mul, jump]}
56672;333;java.exe;{DISK:[commit, truncate, fsync, fsync, read, sync]# CPU:[mul, ret, add, mov]# RAM:[write, calloc, fetch]# RAM:[copy, store, write, fetch]# RAM:[load, memcpy, write, malloc, memcpy]# CPU:[pop, mod, call, mul, div]}
71116;1507;diskpart.exe;{CPU:[mul, mov, mod, jump]# RAM:[alloc, alloc, alloc, move]# RAM:[copy, move, write, fetch]# CPU:[push, dec, push, jump, div, ret, dec, pop]# RAM:[release, release, read, store, cache]# DISK:[seek, fsync, commit]# CPU:[dec, test, add]}
93201;98;notepad.exe;{CPU:[mod, xor, inc, shift, push, sub, loop]# CPU:[jump, push, test]# CPU:[call, ret, inc, push, add, sub]}
11760;4086;gradle.exe;{CPU:[push, loop, xor]# CPU:[shift, mul, mod]# DISK:[rename, unlink, seek, append, write, seek, rename, unlink]# DISK:[close, rename, seek, write, write, commit, unlink]# CPU:[call, loop, div, mul, inc, call]# RAM:[memcpy, read]# DISK:[flush, fsync, fsync, rename]}
57848;25;ssh.exe;{CPU:[sub, loop]# CPU:[shift, mov, inc, add, add, test, push, mul]# DISK:[rename, mount, truncate, close, unlink, close]# RAM:[calloc, malloc, alloc]}
74481;642;git.exe;{DISK:[commit, flush, fsync, fsync, sync, unlink]# CPU:[push, push, test, div, shift, mul]# DISK:[close, truncate, read, append, flush, rename, mount, rename]# DISK:[flush, rename]# DISK:[write, seek, mount, unlink, seek, read, unlink, rename]# DISK:[commit, sync, flush, open, read, write, append]}
38998;1024;ftp.exe;{RAM:[copy, calloc, release, free]# RAM:[alloc, cache, copy, read, cache, release, load, copy]# RAM:[memcpy, cache]# RAM:[move, copy, free]# DISK:[mount, truncate, truncate, flush]}
71817;56;calc.exe;{CPU:[pop, mod, jump, ret, sub]# RAM:[read, fetch, release, fetch]# RAM:[read, cache, store, fetch, move, store, store]# CPU:[mod, call, cmp, mov]# CPU:[add, sub, ret, inc, inc, div, sub]}
64768;1507;wmic.exe;{DISK:[open, commit]# CPU:[div, mul, div]# RAM:[copy, cache, write, move, malloc, read, alloc, store]# RAM:[fetch, malloc, cache, read, malloc, memcpy, alloc]# CPU:[add, mod, dec, xor, inc, push, mul]}
89568;314;notepad.exe;{DISK:[read, append, unlink]# DISK:[fsync, seek, seek, read]# RAM:[calloc, memcpy, read, write, store, write, store, free]}
94402;314;java.exe;{RAM:[malloc, move, store, read, fetch]# RAM:[release, fetch]# CPU:[loop, cmp, jump, loop, ret, sub, dec, mov]# DISK:[open, seek, flush, open]# CPU:[add, mod]# RAM:[move, free, load, calloc, memcpy, read, free]# DISK:[write, seek, mount, unlink, read, seek]}
